//Climbing the Citadel
//sprites
//sprite ID, file ID, x, y, w, h, rotx, roty,scale, alpha,angle,name, layer, framecount
0, 1, 2, 0, 492, 91, 0, 0, 1.0, 255, 0, main_menu, 7, 0, 0
1, 1, 1, 94, 432, 55, 0, 0, 1.0, 255, 0, menu_climb, 7, 0, 0
2, 1, 1, 153, 432, 55, 0, 0, 1.0, 255, 0, menu_reload, 7, 0, 0
3, 1, 1, 210, 432, 55, 0, 0, 1.0, 255, 0, menu_howto, 7, 0, 0
4, 1, 1, 271, 432, 55, 0, 0, 1.0, 255, 0, menu_top10, 7, 0, 0
5, 1, 1, 328, 432, 55, 0, 0, 1.0, 255, 0, menu_setup, 7, 0, 0
6, 1, 1, 387, 432, 55, 0, 0, 1.0, 255, 0, menu_stop, 7, 0, 0
7, 1, 2, 442, 452, 68, 0, 0, 1.0, 255, 0, menu_outline, 7, 0, 0
8, 2, 0, 0, 13, 13, 7, 7, 1, 255, 0, snowflake, 7, 0, 0
9, 3, 0, 0, 256, 128, 128, 64, 1, 255, 0, snowbackground, 3, 0, 0
10, 3, 0, 128, 256, 128, 128, 64, 1, 255, 0, snowbackground2, 3, 0, 0
11, 4, 0, 0, 88, 112, 44, 56, 1, 255, 0, pinetree1, 3, 0, 0
12, 4, 91, 0, 146, 264, 164, 132, 1, 255, 0, pinetree2, 3, 0, 0
13, 18, 0, 0, 1169, 764, 0, 0, 1, 255, 0, sky1, 0, 0, 0
14, 14, 0, 0, 160, 120, 80, 60, 1, 255, 0, hj_level_walk_l, 5, 6, .11
15, 15, 0, 0, 160, 120, 80, 60, 1, 255, 0, hj_level_walk_r, 5, 6, .11
16, 19, 0, 0, 160, 120, 80, 60, 1, 255, 0, hj_uphill_walk_l, 5, 6, .14
17, 20, 0, 0, 160, 120, 80, 60, 1, 255, 0, hj_uphill_walk_r, 5, 6, .14
18, 18, 0, 0, 120, 120, 120, 120, 1, 255, 0, wreath, 7, 6, .2
19, 4, 97, 286, 300, 160, 0, 0, 1, 255, 0, tent, 7, 0, 0
20, 12, 6, 303, 456, 106, 0, 0, 1, 255, 0, pause, 9, 0, 0
21,3, 0, 0, 160, 120, 80, 60, 1, 255, 0, snow_boulder, 5, 6, .1
22, 0, 0, 0, 1273, 348, 0, 0, 1, 255, 0, splash, 1, 0, 0
23, 4, 0, 0, 88, 112, 44, 56, 1, 255, 0, pinetree3, 7, 0, 0
24, 4, 91, 0, 146, 264, 164, 132, 1, 255, 0, pinetree3, 7, 0, 0
